15min Data - Main Card (Port01)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,305574022,2218197645,1077261,2342735,0,NORMAL,0,NORMAL,0,NORMAL,39979,8268,513993,441776,287429,236074,70808,101401,73925,125180,89542,1429926,0,NORMAL,0,NORMAL,0,0,0,0,0,7468,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,3,37,00:13:00,00:10:20
00:30,279454491,2354074146,1076159,2410491,0,NORMAL,0,NORMAL,0,NORMAL,44756,7642,482749,453815,340740,228003,65996,82959,70946,108667,69285,1515584,0,NORMAL,0,NORMAL,0,0,0,0,0,7431,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,3,37,00:27:30,00:22:10
00:45,216753467,2115504111,890848,1978557,0,NORMAL,0,NORMAL,0,NORMAL,48892,7625,450665,233740,229471,198884,46607,61073,67849,94093,46380,1382417,0,NORMAL,0,NORMAL,0,0,0,0,1,7430,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,2,40,00:44:40,00:33:00
01:00,195597719,1836534376,806307,1806623,0,NORMAL,0,NORMAL,0,NORMAL,48998,7678,370802,271769,240439,187967,45751,52182,56077,69146,44208,1217819,0,NORMAL,0,NORMAL,0,0,0,0,0,7444,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,2,43,00:59:40,00:58:50
01:15,196387261,1826396704,749632,1698661,0,NORMAL,0,NORMAL,0,NORMAL,48311,7600,372774,184972,177706,163834,46383,52407,51108,92766,53129,1193829,0,NORMAL,0,NORMAL,0,0,0,0,0,7433,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,3,47,01:12:30,01:02:00
01:30,205058353,1807880054,784845,1754394,0,NORMAL,0,NORMAL,0,NORMAL,48794,7583,373665,201605,205131,182122,47048,68644,56495,90851,53266,1199674,0,NORMAL,0,NORMAL,0,0,0,0,0,7430,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,2,42,01:30:00,01:21:20
01:45,215649220,1607634552,753036,1616776,0,NORMAL,0,NORMAL,0,NORMAL,46641,7573,284991,195770,244775,197521,51808,72134,68004,81189,56802,1062537,0,NORMAL,0,NORMAL,0,0,0,0,0,7436,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,2,37,01:42:20,01:33:00
02:00,173381312,1712752087,635125,1591762,0,NORMAL,0,NORMAL,0,NORMAL,49897,7521,276398,171371,169290,154270,33123,42888,63864,89784,42535,1125873,0,NORMAL,0,NORMAL,0,0,0,0,0,7426,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,2,68,01:50:30,01:53:40
02:15,173205249,975262834,582155,1062164,0,NORMAL,0,NORMAL,0,NORMAL,49555,7565,236499,183713,165123,153559,28949,28261,44932,58419,57096,630585,0,NORMAL,0,NORMAL,0,0,0,0,0,7424,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,3,32,02:14:50,02:09:00
02:30,244870091,1056282134,618166,1143646,0,NORMAL,0,NORMAL,0,NORMAL,45812,7631,248341,228902,146659,149312,24777,38441,45634,28253,106874,690998,0,NORMAL,0,NORMAL,0,0,0,0,1,7424,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,3,32,02:27:40,02:18:00
