15min Data - Main Card (Port05)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,SFP RX Power (MIN) [dBm],Status,SFP TX Power (MIN) [dBm],Status,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,2221101273,305573750,2365803,1077262,23068,NORMAL,0,NORMAL,0,NORMAL,10645,39979,455110,513995,241951,287429,102740,70807,125312,73925,1429932,89542,0,NORMAL,0,NORMAL,0,0,0,0,9845,0,0,NORMAL,0,23068,0,0,0,0,0,0,0,0,0,0,0,0,-06.8,NORMAL,-05.0,NORMAL,VALID,37,3,00:10:20,00:13:00
00:30,2356632499,279454163,2430369,1076156,19880,NORMAL,0,NORMAL,0,NORMAL,9980,44756,465299,482747,232479,340739,84325,65996,108878,70946,1515587,69285,0,NORMAL,0,NORMAL,0,0,0,0,9769,0,0,NORMAL,0,19880,0,0,0,0,0,0,0,0,0,0,0,0,-06.8,NORMAL,-05.0,NORMAL,VALID,37,3,00:22:10,00:27:30
00:45,2118199932,216753467,1999100,890848,20544,NORMAL,0,NORMAL,0,NORMAL,10003,48892,245879,450665,203244,229471,62372,46607,94449,67849,1382427,46380,0,NORMAL,0,NORMAL,0,0,0,0,9808,1,0,NORMAL,0,20544,0,0,0,0,0,0,0,0,0,0,0,0,-06.8,NORMAL,-05.0,NORMAL,VALID,40,2,00:33:00,00:44:40
01:00,1839496861,195598073,1829566,806310,22938,NORMAL,0,NORMAL,0,NORMAL,10036,48998,285204,370804,193293,240440,53722,45751,69423,56077,1217824,44208,0,NORMAL,0,NORMAL,0,0,0,0,9802,0,0,NORMAL,0,22938,0,0,0,0,0,0,0,0,0,0,0,0,-06.8,NORMAL,-05.0,NORMAL,VALID,43,2,00:58:50,00:59:40
01:15,1829781410,196387884,1725217,749636,26561,NORMAL,0,NORMAL,0,NORMAL,9980,48311,200770,372777,170212,177707,54139,46383,93025,51108,1193835,53129,0,NORMAL,0,NORMAL,0,0,0,0,9812,0,0,NORMAL,0,26561,0,0,0,0,0,0,0,0,0,0,0,0,-06.8,NORMAL,-05.0,NORMAL,VALID,47,3,01:02:00,01:12:30
01:30,1811285057,205061870,1780463,784841,26067,NORMAL,0,NORMAL,0,NORMAL,9944,48794,217236,373660,187941,205129,70625,47048,91120,56495,1199679,53269,0,NORMAL,0,NORMAL,0,0,0,0,9791,0,0,NORMAL,0,26067,0,0,0,0,0,0,0,0,0,0,0,0,-06.8,NORMAL,-05.0,NORMAL,VALID,42,2,01:21:20,01:30:00
01:45,1610696558,215644726,1641168,753033,24394,NORMAL,0,NORMAL,0,NORMAL,10011,46641,210497,284991,202984,244775,73730,51808,81352,68004,1062541,56799,0,NORMAL,0,NORMAL,0,0,0,0,9874,0,0,NORMAL,0,24394,0,0,0,0,0,0,0,0,0,0,0,0,-06.8,NORMAL,-05.0,NORMAL,VALID,37,2,01:33:00,01:42:20
02:00,1716057944,173381312,1618171,635125,26408,NORMAL,0,NORMAL,0,NORMAL,10045,49897,187440,276398,160375,169290,44376,33123,90004,63864,1125875,42535,0,NORMAL,0,NORMAL,0,0,0,0,9950,0,0,NORMAL,0,26408,0,0,0,0,0,0,0,0,0,0,0,0,-06.8,NORMAL,-05.0,NORMAL,VALID,68,2,01:53:40,01:50:30
02:15,978972045,173205365,1090733,582156,28535,NORMAL,0,NORMAL,0,NORMAL,10040,49555,201177,236500,159964,165123,30157,28949,58709,44932,630621,57096,0,NORMAL,0,NORMAL,0,0,0,0,9899,0,0,NORMAL,0,28535,0,0,0,0,0,0,0,0,0,0,0,0,-06.8,NORMAL,-05.0,NORMAL,VALID,32,3,02:09:00,02:14:50
02:30,1059856895,244869975,1173530,618165,29919,NORMAL,0,NORMAL,0,NORMAL,10196,45812,247830,248340,156163,146659,39878,24777,28381,45634,690971,106874,0,NORMAL,0,NORMAL,0,0,0,0,9989,1,0,NORMAL,0,29919,0,0,0,0,0,0,0,0,0,0,0,0,-06.8,NORMAL,-05.0,NORMAL,VALID,32,3,02:18:00,02:27:40
