15min Data - Radio LAG (Radio GRP1)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,29445740626,3241906683,26977348,11737537,0,NORMAL,0,NORMAL,0,NORMAL,11478,224970,3022282,6200966,1863927,3090536,1074199,510463,655889,670324,20348948,1001712,0,NORMAL,159,NORMAL,0,0,631,180,2315,27,0,NORMAL,0,0,0,0,0,0,117,0,0,0,0,0,0,0,,,,,VALID,343,52,00:12:30,00:12:50
00:30,32025584216,3518206909,29311344,12951606,0,NORMAL,0,NORMAL,0,NORMAL,10869,220478,3358289,7062439,1988243,3258079,1132861,570707,689801,705972,22130685,1095443,0,NORMAL,0,NORMAL,0,0,630,180,2146,15,0,NORMAL,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,,,,VALID,351,40,00:18:00,00:17:50
00:45,33073139330,3713449504,29557008,12845085,0,NORMAL,0,NORMAL,0,NORMAL,12568,212863,3243926,7134690,1799820,2941902,959457,528016,655015,713251,22884829,1276117,0,NORMAL,2,NORMAL,0,0,629,180,2031,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,349,45,00:35:10,00:33:50
01:00,31854275925,3670340361,28694542,12902213,0,NORMAL,0,NORMAL,0,NORMAL,42293,220143,3354960,7288497,1797769,2903899,916601,524014,626542,627683,21921526,1297903,0,NORMAL,0,NORMAL,0,0,630,180,1840,3,0,NORMAL,0,0,0,0,0,0,15,0,0,0,0,0,0,0,,,,,VALID,331,55,00:53:40,00:57:10
01:15,31457547473,3700944316,28223202,12703889,0,NORMAL,0,NORMAL,0,NORMAL,16081,212963,3351160,7171139,1747438,2879758,799689,438985,587298,595599,21716321,1366470,0,NORMAL,0,NORMAL,0,0,630,181,1860,12,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,352,69,01:01:00,01:05:00
01:30,32387259880,3650077589,28598279,12724193,0,NORMAL,0,NORMAL,0,NORMAL,15798,209427,3176536,7187546,1678485,2857314,732362,472639,559688,667600,22429711,1291537,0,NORMAL,108,NORMAL,0,0,630,179,1701,9,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,349,56,01:22:00,01:21:00
01:45,29836243646,3603348271,26970783,12277912,0,NORMAL,0,NORMAL,0,NORMAL,27657,222899,3160142,6740260,1805568,2887365,759401,483543,557595,561384,20639391,1344257,0,NORMAL,2727,NORMAL,0,0,630,180,1868,12,0,NORMAL,0,0,0,0,0,0,96,0,0,0,0,0,0,0,,,,,VALID,317,67,01:31:40,01:39:10
02:00,29112756417,3096012484,26870540,11567126,0,NORMAL,0,NORMAL,0,NORMAL,46996,223559,3329245,6221046,1954287,3028972,833264,503410,569896,548992,20097903,1003907,0,NORMAL,2,NORMAL,0,0,630,180,1765,9,0,NORMAL,0,0,0,0,0,0,167,0,0,0,0,0,0,0,,,,,VALID,325,42,01:45:00,01:51:20
02:15,30366228295,3411099453,27943816,12520741,0,NORMAL,0,NORMAL,0,NORMAL,32975,218720,3541552,7068602,2001496,2982140,824590,494559,564743,574653,20952881,1144528,0,NORMAL,0,NORMAL,0,0,630,180,1904,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,340,51,02:01:50,02:11:40
02:30,29457895263,3731816998,27065448,12573146,0,NORMAL,0,NORMAL,0,NORMAL,52956,226349,3369337,6829844,1875452,3007675,829684,475171,627174,616371,20266018,1380186,0,NORMAL,0,NORMAL,0,0,630,180,1926,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,310,63,02:22:30,02:17:30
