15min Data - Radio LAG (Radio GRP1)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,96003234037,12491510160,92604749,45761371,0,NORMAL,0,NORMAL,0,NORMAL,111795,1257936,10995452,17357262,7577788,18354895,5738342,2460483,2854599,2353925,65209971,3874108,0,NORMAL,0,NORMAL,0,0,8855,180,7264,1,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,938,146,00:10:50,00:12:00
00:30,87976142336,11210834146,84118657,40896370,0,NORMAL,0,NORMAL,0,NORMAL,58165,1283363,10310059,15983903,6833060,15798223,4360088,2064266,2558367,2119752,59940496,3525381,0,NORMAL,0,NORMAL,0,0,8751,178,7311,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,886,120,00:17:50,00:21:00
00:45,87011845823,10884154467,82460491,39804873,0,NORMAL,0,NORMAL,0,NORMAL,37473,1282865,10265765,16117698,6611002,14833431,3725232,2013750,2398220,1976768,59375287,3493581,0,NORMAL,0,NORMAL,0,0,8836,179,7509,2,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,863,110,00:42:50,00:36:10
01:00,80572795417,10603384083,76800522,36960713,0,NORMAL,0,NORMAL,0,NORMAL,50021,1275262,9277218,15095851,6506658,12958846,3488526,1951456,2384667,1935684,55031181,3635337,0,NORMAL,0,NORMAL,0,0,8831,180,7332,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,808,130,00:52:20,00:45:40
01:15,79478556658,9939975701,74982121,34546937,0,NORMAL,0,NORMAL,0,NORMAL,34380,1328968,8804840,15190531,6093522,10929183,3365343,1740154,2196703,1787346,54424847,3473444,0,NORMAL,0,NORMAL,0,0,8839,180,7196,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,810,114,01:13:20,01:01:40
01:30,73484870447,9772262293,69236630,32171401,0,NORMAL,0,NORMAL,0,NORMAL,41113,1349064,8240765,14255723,5752840,9601134,2771618,1498082,1944063,1665128,50433517,3685999,0,NORMAL,0,NORMAL,0,0,8828,179,7292,2,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,771,107,01:15:00,01:18:10
01:45,66923047289,9697610923,63350420,30150479,0,NORMAL,0,NORMAL,0,NORMAL,65933,1496267,8159623,13857188,5121345,7809218,2490094,1382090,1804084,1615088,45613274,3899362,0,NORMAL,0,NORMAL,0,0,8972,180,7767,1,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,743,99,01:31:50,01:44:30
02:00,59141166461,9440936200,57010208,27802168,0,NORMAL,0,NORMAL,0,NORMAL,115655,1531457,7653949,12533057,4816867,6788891,2404351,1381795,1778311,1422355,40097359,4048955,0,NORMAL,0,NORMAL,0,0,8995,180,7646,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,672,114,01:49:30,01:46:00
02:15,53652473420,7745483236,51708967,25302384,0,NORMAL,0,NORMAL,0,NORMAL,54715,1532651,6673673,11996471,4530139,6031743,2292780,1284229,1668742,1251305,36425775,3091221,0,NORMAL,0,NORMAL,0,0,8993,180,7598,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,584,93,02:07:50,02:03:30
02:30,51049517055,6725056940,48785097,22685373,0,NORMAL,0,NORMAL,0,NORMAL,55698,1455171,6122813,10913610,3899774,5327932,2405425,1250791,1527365,1145673,34705119,2489390,0,NORMAL,0,NORMAL,0,0,8885,184,7550,1,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,576,71,02:28:00,02:15:20
02:45,51517052644,6034183366,48823347,22164149,0,NORMAL,0,NORMAL,0,NORMAL,29582,1479241,5910355,11004867,3792685,5320094,2572807,1152329,1482596,1079208,35009721,2028726,0,NORMAL,0,NORMAL,0,0,8881,180,7308,2,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,572,83,02:38:50,02:32:30
03:00,49189303509,5949303727,47105847,21408176,0,NORMAL,0,NORMAL,0,NORMAL,32688,1507603,5908519,10479094,3764878,5213599,2475823,1050001,1722516,960808,33173622,2092463,0,NORMAL,0,NORMAL,0,0,8827,180,7367,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,519,73,02:52:20,02:46:20
03:15,47749586343,5541576794,45448038,20800211,0,NORMAL,0,NORMAL,0,NORMAL,24963,1491183,5444049,10046320,3849532,5452671,2146644,927236,1712294,969383,32252523,1805157,0,NORMAL,0,NORMAL,0,0,8856,180,7386,2,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,509,61,03:01:20,03:01:40
03:30,42497922232,5195650884,40564872,19187069,0,NORMAL,0,NORMAL,0,NORMAL,38266,1482832,5352863,9630409,3482587,4506638,1681509,796739,1186139,962582,28784928,1722887,0,NORMAL,0,NORMAL,0,0,8858,180,7153,4,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,463,69,03:22:30,03:20:20
03:45,36351821836,4705966361,35315633,17192672,0,NORMAL,0,NORMAL,0,NORMAL,25838,1463427,4925244,8399461,3322768,4143094,1430539,670832,980760,843277,24608776,1572180,0,NORMAL,0,NORMAL,0,0,8848,180,7247,2,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,440,56,03:30:20,03:31:10
04:00,33488730479,4526214526,33239969,16329805,0,NORMAL,0,NORMAL,0,NORMAL,34765,1442540,4909233,7872955,3292572,3851689,1363353,706712,1071204,783511,22531342,1566771,0,NORMAL,0,NORMAL,0,0,8882,186,7248,1,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,373,52,03:51:50,03:46:00
04:15,34756792832,4232927140,33541498,16018244,0,NORMAL,0,NORMAL,0,NORMAL,26289,1516460,4793762,7864228,3013869,3799043,1314257,621402,975015,711788,23293793,1402732,0,NORMAL,0,NORMAL,0,0,8879,184,7073,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,435,51,04:07:20,04:14:40
04:30,35444362011,4458900517,33703144,16006296,0,NORMAL,0,NORMAL,0,NORMAL,14521,1518589,4878593,7750979,2627654,3739512,1189642,623394,917896,720421,23992726,1571202,0,NORMAL,0,NORMAL,0,0,8943,180,7382,4,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,395,65,04:19:10,04:23:30
04:45,37161956558,4568704261,34771174,16726985,0,NORMAL,0,NORMAL,0,NORMAL,15585,1486775,4575559,8532061,2734962,3637338,1221790,679685,1090089,728424,25082801,1567597,0,NORMAL,0,NORMAL,0,0,8871,184,7193,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,411,65,04:32:10,04:35:20
