15min Data - Radio LAG (Radio GRP1)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,29738480502,3673392574,27387886,12381357,69205,NORMAL,0,NORMAL,0,NORMAL,43313,1803,2960203,6237609,1930735,3540829,1287985,577482,958965,731888,20163495,1234344,0,NORMAL,0,NORMAL,0,0,7358,638,6669,1060,0,NORMAL,0,69205,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,317,41,00:05:50,00:07:40
00:30,29858410428,3957268873,27421220,12150120,61291,NORMAL,0,NORMAL,0,NORMAL,38101,1879,2996335,6109502,1836502,3241148,1374168,524783,874914,713870,20264640,1500770,0,NORMAL,0,NORMAL,0,0,7429,725,7199,1599,0,NORMAL,0,61291,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,339,45,00:25:30,00:23:10
00:45,29888959088,3189890477,27295676,11393763,61567,NORMAL,0,NORMAL,0,NORMAL,8641,2123,2651516,5978613,1937844,3133240,1491939,604612,808326,633294,20396811,985819,0,NORMAL,0,NORMAL,0,0,7499,799,7019,1377,0,NORMAL,0,61567,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,352,35,00:40:10,00:35:10
01:00,28428048785,2856987763,25839799,10479576,74012,NORMAL,0,NORMAL,0,NORMAL,14541,1993,2443799,5572711,1866287,2830816,1274289,596992,737331,625731,19497043,795056,0,NORMAL,0,NORMAL,0,0,7537,828,7127,1537,0,NORMAL,0,74012,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,321,35,00:45:30,00:50:40
01:15,25196865391,2933758823,23046227,10127985,39986,NORMAL,0,NORMAL,0,NORMAL,8189,1720,2339944,5528777,1667510,2485363,1099017,507651,690997,591183,17240000,957620,0,NORMAL,0,NORMAL,0,0,7359,650,7077,1462,0,NORMAL,0,39986,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,280,51,01:04:50,01:09:30
01:30,23693971926,2517954374,21506465,9206225,35409,NORMAL,0,NORMAL,0,NORMAL,9145,1703,1991267,5052730,1558764,2357107,1126622,465886,647657,534343,16171628,737606,0,NORMAL,0,NORMAL,0,0,7412,699,6762,1174,0,NORMAL,0,35409,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,274,28,01:22:10,01:21:10
01:45,23081019636,2816893034,21103610,9358666,68114,NORMAL,0,NORMAL,0,NORMAL,8556,1858,2060171,4948733,1603261,2317190,1138169,527029,654847,538085,15637988,970631,0,NORMAL,0,NORMAL,0,0,7342,642,6830,1154,0,NORMAL,0,68114,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,298,37,01:33:20,01:37:50
02:00,20170313276,2405725881,18550426,8185147,61111,NORMAL,0,NORMAL,0,NORMAL,14833,1767,2020124,4162262,1378712,2243037,903712,483390,599873,458941,13625485,779387,0,NORMAL,0,NORMAL,0,0,7351,643,6730,1140,0,NORMAL,0,61111,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,234,32,01:46:00,01:49:10
02:15,17236700711,2237690097,16171204,7453247,62402,NORMAL,0,NORMAL,0,NORMAL,7858,1667,1818147,3774487,1329920,1995895,830047,453772,541361,465895,11634790,708401,0,NORMAL,0,NORMAL,0,0,7378,668,6661,999,0,NORMAL,0,62402,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,225,32,02:07:50,02:14:10
02:30,17292115434,2363440467,16173619,6968343,68736,NORMAL,0,NORMAL,0,NORMAL,25290,1570,1777884,3296035,1240509,1887711,833627,417845,520042,437747,11757759,874368,0,NORMAL,0,NORMAL,0,0,7352,636,6712,1092,0,NORMAL,0,68736,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,199,31,02:15:10,02:22:50
