15min Data - Radio LAG (Radio GRP1)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,131852207491,16253767657,124529886,55938891,0,NORMAL,0,NORMAL,0,NORMAL,344804,1794717,14536454,26381065,10270077,16118304,5717941,2876613,3788336,2998917,89462165,5386686,0,NORMAL,9,NORMAL,0,0,15449,5494,23795,1576,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,1345,165,00:00:40,00:03:00
00:30,127968357036,16163708575,119301777,52632359,0,NORMAL,0,NORMAL,0,NORMAL,290813,1776336,12932971,24776808,9625146,14460455,5251469,2608972,3873482,2870812,87024785,5776100,0,NORMAL,0,NORMAL,0,0,15377,5468,23645,1562,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,1294,165,00:15:30,00:18:00
00:45,115116105339,14283856226,107107787,47563973,0,NORMAL,0,NORMAL,0,NORMAL,176108,1788523,11856722,22529881,8703287,12954712,4486659,2407830,3340154,2615412,78359415,4967671,0,NORMAL,0,NORMAL,0,0,15379,5475,23530,1439,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,1199,165,00:30:10,00:44:10
01:00,101505263894,13816046692,95107787,43803287,0,NORMAL,0,NORMAL,0,NORMAL,91366,1772333,11084817,20587380,8091887,11447225,3831296,2097473,2996044,2448449,68921784,5247425,0,NORMAL,0,NORMAL,0,0,15398,5468,23725,1437,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,1088,157,00:47:50,00:45:20
01:15,92423585061,12706663496,87342641,40331882,0,NORMAL,0,NORMAL,0,NORMAL,100366,1786734,10549261,19303693,7532479,10241533,3711479,1806904,2865211,2047717,62489570,4878210,0,NORMAL,0,NORMAL,0,0,15389,5476,23892,1487,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,955,149,01:08:40,01:02:30
01:30,83404124835,10888778739,79153628,36191985,0,NORMAL,0,NORMAL,0,NORMAL,55585,1802448,9773731,17574572,7016045,9172293,3254157,1653645,2498104,1803944,56530102,4017823,0,NORMAL,0,NORMAL,0,0,15399,5477,23904,1475,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,908,132,01:15:10,01:19:00
01:45,76481889707,9282232668,73511869,33725598,0,NORMAL,0,NORMAL,0,NORMAL,33817,1805759,9344579,16831521,6640105,8612183,3547732,1599190,2351679,1650801,51575234,2967123,0,NORMAL,0,NORMAL,0,0,15378,5470,23890,1499,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,795,103,01:34:00,01:32:30
02:00,71867130496,10276194104,68852496,33906549,0,NORMAL,0,NORMAL,0,NORMAL,31491,1782407,8741439,16483740,6550738,8320351,2935827,1694993,2114394,1569988,48474759,3734982,0,NORMAL,0,NORMAL,0,0,15414,5483,23797,1455,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,760,120,01:59:30,01:53:10
02:15,63939255186,9632385955,61917435,30211632,0,NORMAL,0,NORMAL,0,NORMAL,39179,1779613,7926135,14013420,6362777,7561652,2604048,1433011,1923559,1411124,43050859,3793845,0,NORMAL,0,NORMAL,0,0,15393,5471,23803,1396,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,712,127,02:01:30,02:00:50
02:30,62108828468,8696722097,60165353,28966885,0,NORMAL,0,NORMAL,0,NORMAL,30823,1772881,8041176,13884131,6004762,7273627,2224061,1289935,1828026,1345499,42005672,3200864,0,NORMAL,0,NORMAL,0,0,15391,5475,23626,1422,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,727,107,02:28:00,02:15:20
02:45,57041917685,7522240385,55152928,27008435,0,NORMAL,0,NORMAL,0,NORMAL,42488,1761225,7508499,13396472,5380942,6625660,2018436,1210922,1763411,1262648,38347771,2504558,0,NORMAL,0,NORMAL,0,0,15405,5474,23617,1414,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,600,90,02:33:10,02:31:10
03:00,57388762307,7570559058,53992900,26961317,0,NORMAL,0,NORMAL,0,NORMAL,43610,1776804,6671403,13056833,5035810,6972368,1736424,1159307,1697080,1137703,38793651,2546319,0,NORMAL,0,NORMAL,0,0,15383,5473,23621,1465,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,690,89,02:58:50,02:51:00
03:15,56564247979,8210500454,53162719,27057241,0,NORMAL,0,NORMAL,0,NORMAL,55213,1745535,6792501,13012199,4824359,6677389,1671550,1148236,1660035,1144136,38045202,3112257,0,NORMAL,0,NORMAL,0,0,15379,5467,23744,1529,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,643,93,03:00:50,03:01:30
03:30,55807985709,8136670046,52756932,26688893,0,NORMAL,0,NORMAL,0,NORMAL,45646,1748199,7095242,12608830,4759533,6792225,1604319,1101557,1737011,1193191,37451200,3073485,0,NORMAL,0,NORMAL,0,0,15400,5480,23530,1457,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,619,89,03:18:20,03:18:10
03:45,61958823748,7614734715,57220112,27705271,0,NORMAL,0,NORMAL,0,NORMAL,89828,1740536,7524202,13614689,4657313,7329950,1540547,1156119,1656654,1162248,41624260,2479678,0,NORMAL,3,NORMAL,0,0,15405,5480,23715,1436,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,688,94,03:32:20,03:30:00
04:00,60271068280,7972690764,55620647,27736279,0,NORMAL,0,NORMAL,0,NORMAL,104126,1738765,7175262,13326993,4485070,7481853,1522395,1011678,1579565,1206874,40615807,2735084,0,NORMAL,0,NORMAL,0,0,15399,5476,26066,1434,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,660,107,03:47:40,03:55:20
04:15,55348659112,8245794747,52164781,26596605,0,NORMAL,0,NORMAL,0,NORMAL,96895,1707389,6875106,12322667,4576233,6902053,1581501,1030812,1541678,1290203,37421160,3071594,0,NORMAL,0,NORMAL,0,0,15391,5468,26447,1432,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,635,91,04:06:30,04:00:40
04:30,56397508350,8937483232,53131983,27437352,0,NORMAL,0,NORMAL,0,NORMAL,67492,1712698,7157841,12430977,4593520,7125050,1609316,1083200,1543698,1242376,38120268,3623257,0,NORMAL,0,NORMAL,0,0,15402,5478,26489,1450,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,642,103,04:26:30,04:29:20
04:45,56159376741,9226956075,53023863,28047692,0,NORMAL,0,NORMAL,0,NORMAL,65414,1736603,6911617,13289467,4795015,6472917,1682040,1229565,1580696,1282118,37950723,3822783,0,NORMAL,0,NORMAL,0,0,15379,5471,26238,1415,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,646,100,04:41:20,04:37:30
05:00,60769256884,9362425457,56591516,29059401,0,NORMAL,0,NORMAL,0,NORMAL,80243,1753956,7248094,13965925,4930161,6822431,1728016,1200409,1556975,1226011,40991092,3840612,0,NORMAL,0,NORMAL,0,0,15400,5475,26611,1517,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,715,113,04:58:10,04:46:10
05:15,65318130920,9938765317,60772621,30077697,0,NORMAL,0,NORMAL,0,NORMAL,70081,1751470,7707671,14371618,5149835,7109591,1777971,1117800,1432941,1309449,44590823,4133493,0,NORMAL,3,NORMAL,0,0,15392,5474,26337,1439,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,760,125,05:14:10,05:00:50
05:30,83983939101,9903531529,75419632,33507422,0,NORMAL,0,NORMAL,0,NORMAL,112192,1760310,8567696,17199696,5270046,7962411,1987317,1229425,1574706,1407785,57815867,3713565,0,NORMAL,0,NORMAL,0,0,15399,5476,26554,1500,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,910,124,05:26:10,05:24:10
05:45,94349906732,11143042945,84968163,37117962,0,NORMAL,0,NORMAL,0,NORMAL,98538,1754424,9655334,18332691,5759166,9554409,2344510,1467713,1961663,1623325,65081212,4195650,0,NORMAL,9,NORMAL,0,0,15386,5470,26479,1472,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,1030,120,05:39:40,05:43:30
06:00,101146492584,12098002869,91285094,39409257,0,NORMAL,0,NORMAL,0,NORMAL,102371,1746894,10672194,19700097,6071711,9853710,2555193,1505238,1990916,1793951,69813673,4578562,0,NORMAL,3,NORMAL,0,0,15397,5479,26398,1512,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,1061,137,05:59:00,05:50:30
