15min Data - Radio LAG (Radio GRP1)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,12420927910,1683150502,12032211,5675257,0,NORMAL,0,NORMAL,0,NORMAL,6212,434243,1526153,2510181,1255082,1461197,426998,311967,362336,290386,8451675,623539,0,NORMAL,0,NORMAL,0,0,180,631,2871,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,182,23,00:09:10,00:06:50
00:30,10817164062,1739396144,10544237,5269904,0,NORMAL,0,NORMAL,0,NORMAL,5519,434214,1315100,2153897,1109376,1357845,349137,239691,373050,286997,7381748,752713,0,NORMAL,0,NORMAL,0,0,180,630,2609,27,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,131,24,00:25:20,00:19:40
00:45,10500277762,1669960354,10218891,4979684,0,NORMAL,0,NORMAL,0,NORMAL,5207,437826,1160731,1958887,1095421,1321610,397900,244443,360383,300626,7160568,672481,0,NORMAL,0,NORMAL,0,0,180,630,2658,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,136,31,00:32:30,00:43:40
01:00,10002362197,1372686443,9606656,4837788,0,NORMAL,0,NORMAL,0,NORMAL,4797,437006,1145347,2163083,1044830,1247318,366546,222295,284517,242548,6679994,484199,0,NORMAL,0,NORMAL,0,0,180,630,2695,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,153,36,00:49:00,00:53:10
01:15,8511290229,1294366193,8402170,4359243,0,NORMAL,0,NORMAL,0,NORMAL,4066,425803,1075160,1702156,960530,1265536,314968,204201,294066,253008,5622661,469198,0,NORMAL,0,NORMAL,0,0,180,630,2417,12,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,127,23,01:01:20,01:06:50
01:30,7350091097,1117929839,7514916,3976203,0,NORMAL,0,NORMAL,0,NORMAL,4267,427797,1067549,1440095,918376,1294478,287420,184864,333486,231334,4748930,358677,0,NORMAL,0,NORMAL,0,0,179,629,2379,15,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,96,21,01:27:20,01:23:10
01:45,6213795008,869435561,6576514,3464546,0,NORMAL,0,NORMAL,0,NORMAL,4574,430491,965146,1334801,878183,1080673,344595,164057,280288,199816,4102890,217289,0,NORMAL,0,NORMAL,0,0,179,628,2594,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,87,15,01:35:30,01:38:00
02:00,6057212420,1094956009,6265095,3588305,0,NORMAL,0,NORMAL,0,NORMAL,4039,432712,1044375,1494012,782260,955735,216586,108199,251272,174789,3959488,385286,0,NORMAL,0,NORMAL,0,0,180,630,2481,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,94,18,01:52:20,01:57:20
02:15,4679773952,735032072,5059148,3030997,0,NORMAL,0,NORMAL,0,NORMAL,3925,427246,825344,1248051,793288,876689,179257,95852,168909,183016,3087610,163994,0,NORMAL,0,NORMAL,0,0,180,630,2131,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,89,14,02:06:50,02:04:20
02:30,3396098915,623902908,4073380,2652760,0,NORMAL,0,NORMAL,0,NORMAL,3775,421294,779057,991680,768741,841613,162553,86181,149558,148744,2208858,127146,0,NORMAL,0,NORMAL,0,0,181,630,2293,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,51,15,02:18:40,02:22:30
02:45,3625853904,595803906,4160463,2684801,0,NORMAL,0,NORMAL,0,NORMAL,3883,423744,767501,1002924,783108,894801,131808,86468,126127,124275,2295405,118759,0,NORMAL,0,NORMAL,0,0,180,630,2391,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,100,10,02:38:20,02:36:40
03:00,3318888086,628815660,4010680,2690258,0,NORMAL,0,NORMAL,0,NORMAL,4158,421290,776439,980876,790508,891152,138644,90844,136164,128673,2159761,143947,0,NORMAL,0,NORMAL,0,0,179,630,2859,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,52,12,02:48:10,02:58:50
03:15,3271708391,672761510,4014339,2735104,0,NORMAL,0,NORMAL,0,NORMAL,3461,423877,771096,966406,824612,913687,138304,84140,157319,150455,2118513,163522,0,NORMAL,0,NORMAL,0,0,180,630,2288,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,46,12,03:05:00,03:06:40
03:30,2944630696,642526567,3632791,2664701,0,NORMAL,0,NORMAL,0,NORMAL,3449,425273,735483,932686,747817,901367,114752,77500,153540,146740,1754399,148435,0,NORMAL,0,NORMAL,0,0,180,630,2186,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,65,14,03:22:50,03:20:40
03:45,3403331590,651644505,3923759,2692788,0,NORMAL,0,NORMAL,0,NORMAL,3457,417374,704151,936221,771979,937843,112862,69982,147750,136699,2000654,162591,0,NORMAL,0,NORMAL,0,0,181,630,1989,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,84,12,03:38:00,03:36:30
04:00,3711920921,573630756,4034670,2537338,0,NORMAL,0,NORMAL,0,NORMAL,3760,414624,695245,976648,708719,779273,107587,90909,123822,126693,2394898,117497,0,NORMAL,0,NORMAL,0,0,180,630,2382,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,85,11,03:59:30,03:51:20
04:15,5759383923,772329172,5561520,3040518,0,NORMAL,0,NORMAL,0,NORMAL,3396,421208,789999,1237291,758306,895523,111639,111722,136216,131959,3761571,211427,0,NORMAL,0,NORMAL,0,0,180,630,2087,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,83,22,04:13:10,04:05:40
04:30,3610661939,694747575,4083699,2684916,0,NORMAL,0,NORMAL,0,NORMAL,3663,426255,731125,938829,767729,856310,110261,98326,123922,136349,2346595,197317,0,NORMAL,0,NORMAL,0,0,178,630,2211,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,86,13,04:16:40,04:19:10
04:45,3105505712,716325917,3827331,2687920,0,NORMAL,0,NORMAL,0,NORMAL,3965,421460,767232,931992,782375,854025,121700,98175,138890,135572,2012750,215381,0,NORMAL,0,NORMAL,0,0,179,630,2505,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,51,13,04:44:40,04:35:00
