15min Data - Radio LAG (Radio GRP1)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,5922190631,31224376129,19851418,35938964,0,NORMAL,0,NORMAL,0,NORMAL,132968,14529,8846491,6392096,7025051,6641206,879325,1459658,1006260,1078864,1928909,20319184,0,NORMAL,0,NORMAL,0,0,180,5563,0,1825,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,65,321,00:07:20,00:12:20
00:30,5413697333,32738141175,21640131,39450610,0,NORMAL,0,NORMAL,0,NORMAL,121470,11697,9942064,7895145,8501105,8247907,784344,1259399,962754,970570,1297399,21004589,0,NORMAL,0,NORMAL,0,0,180,5561,0,1908,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,57,353,00:19:00,00:27:50
00:45,5095196343,30134154299,20729529,37495713,0,NORMAL,0,NORMAL,0,NORMAL,160700,62846,9505269,7737757,8388627,8471426,678255,1059137,719174,926800,1245098,18950496,0,NORMAL,0,NORMAL,0,0,180,5575,0,1937,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,60,332,00:35:20,00:30:20
01:00,5135197789,30834075354,20465449,37975747,0,NORMAL,0,NORMAL,0,NORMAL,129444,122342,9351321,7596066,8250643,8418675,661811,1040676,694442,937169,1341265,19589855,0,NORMAL,0,NORMAL,0,0,179,5585,1,1779,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,57,319,00:47:10,00:46:20
01:15,5355648809,30138976657,19820620,36686803,0,NORMAL,0,NORMAL,0,NORMAL,126294,20911,8569431,7212781,8077369,8059193,678171,948285,842132,968118,1495769,19317151,0,NORMAL,0,NORMAL,0,0,180,5598,0,1813,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,66,330,01:05:10,01:07:20
01:30,4327155691,27656741299,17862567,34476211,0,NORMAL,0,NORMAL,0,NORMAL,140436,4763,7553678,7121713,7851532,7714455,640876,930513,732329,929031,911039,17687302,0,NORMAL,0,NORMAL,0,0,180,5599,0,2192,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,45,299,01:22:00,01:22:10
01:45,4102749687,25672549164,17235560,32582652,0,NORMAL,0,NORMAL,0,NORMAL,139921,4301,7650237,6847843,7364850,7549649,559401,954742,645078,809774,844580,16348428,0,NORMAL,0,NORMAL,0,0,180,5607,0,1991,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,50,293,01:38:00,01:38:00
02:00,3960141320,28631415387,17552047,34416067,0,NORMAL,0,NORMAL,0,NORMAL,158600,3850,8106990,6808559,7445278,7409726,529043,929045,515492,762474,761420,18431539,0,NORMAL,0,NORMAL,0,0,180,5601,0,2649,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,45,310,01:59:50,01:59:00
02:15,4055341946,25342974220,16188058,31113821,0,NORMAL,0,NORMAL,0,NORMAL,140414,24371,6983749,6361264,6985868,7106365,539157,691685,536646,681481,970309,16191617,0,NORMAL,0,NORMAL,0,0,180,5605,1,2507,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,63,284,02:11:10,02:07:30
02:30,3510526263,22018566938,15030951,28002315,0,NORMAL,0,NORMAL,0,NORMAL,156396,37558,6663874,5903307,6379199,6718247,582722,662983,499007,628848,718160,13981399,0,NORMAL,0,NORMAL,0,0,180,5598,1,2372,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,37,253,02:15:30,02:16:00
02:45,3446157388,22914278959,15007645,28967855,0,NORMAL,0,NORMAL,0,NORMAL,150580,57228,6638152,6017354,6553357,6804327,531367,614171,360838,671588,742571,14723534,0,NORMAL,0,NORMAL,0,0,180,5604,0,2658,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,40,269,02:42:40,02:41:30
03:00,3639808376,23505953620,16113562,30269244,0,NORMAL,0,NORMAL,0,NORMAL,155769,36039,7359887,6827752,6917117,7251507,505589,593166,360285,591684,784390,14920888,0,NORMAL,0,NORMAL,0,0,180,5595,0,2499,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,42,253,02:57:20,02:49:00
03:15,3525632962,20690549236,14698193,27154478,0,NORMAL,0,NORMAL,0,NORMAL,160366,26072,6562660,6136683,6230852,6735293,473850,593006,391138,581558,848903,13061224,0,NORMAL,0,NORMAL,0,0,179,5609,0,1905,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,44,237,03:03:30,03:02:40
03:30,3401587744,18864333527,14660189,26484532,0,NORMAL,0,NORMAL,0,NORMAL,198349,19733,6333280,6472501,6488483,7068837,491367,600134,365384,622796,751756,11687854,0,NORMAL,0,NORMAL,0,0,180,5603,0,2038,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,39,224,03:20:10,03:23:50
03:45,3497260291,19000009397,14898991,26143956,0,NORMAL,0,NORMAL,0,NORMAL,173360,26737,6553357,6231350,6439984,6854784,468215,576620,448229,587820,785174,11847331,0,NORMAL,0,NORMAL,0,0,180,5597,0,1906,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,44,260,03:40:40,03:40:10
04:00,4040107531,19728079652,15522958,27305707,0,NORMAL,0,NORMAL,0,NORMAL,175562,16171,6596185,6741902,6761160,7164378,456894,547495,351777,566106,1146747,12260352,0,NORMAL,0,NORMAL,0,0,180,5600,0,2098,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,48,284,03:56:00,03:52:40
04:15,3725870473,17867340691,14740084,25281685,0,NORMAL,0,NORMAL,0,NORMAL,180873,9253,6170599,6317090,6521425,6753183,488760,528721,369987,540679,947734,11130752,0,NORMAL,0,NORMAL,0,0,180,5604,0,2171,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,39,213,04:06:00,04:03:30
04:30,3616162999,16354036998,14729850,24829777,0,NORMAL,0,NORMAL,0,NORMAL,185466,9362,6223475,6550995,6567573,7195330,504327,553972,336993,526766,880477,9992344,0,NORMAL,0,NORMAL,0,0,180,5600,0,2019,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,38,212,04:22:10,04:24:00
