15min Data - Radio LAG (Radio GRP1)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,28877884121,3108011890,27755638,10724273,0,NORMAL,0,NORMAL,0,NORMAL,37332,146171,3018620,5239779,2479015,2961753,1899719,711476,799478,617324,19480040,1017275,0,NORMAL,0,NORMAL,0,0,4432,180,1249,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,313,37,00:02:00,00:07:50
00:30,25398318498,2780081831,24482861,9429956,0,NORMAL,0,NORMAL,0,NORMAL,18538,151155,2554171,4541376,2131237,2544270,1832577,648268,850769,588885,17075553,925692,0,NORMAL,0,NORMAL,0,0,4428,180,1264,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,272,31,00:23:20,00:19:50
00:45,21642384383,2402649731,21000873,8131303,0,NORMAL,0,NORMAL,0,NORMAL,10090,152866,2295166,3847205,1934534,2371363,1359987,453167,784247,453199,14607476,823468,0,NORMAL,0,NORMAL,0,0,4428,180,1166,6,0,NORMAL,0,0,0,0,0,0,32,0,0,0,0,0,0,0,,,,,VALID,268,27,00:35:30,00:38:00
01:00,20455059413,2250696446,19660008,7575975,0,NORMAL,0,NORMAL,0,NORMAL,17095,147797,2154796,3499488,1758216,2300247,1141153,432855,712304,362690,13859814,802686,0,NORMAL,0,NORMAL,0,0,4427,180,1101,0,0,NORMAL,0,0,0,0,0,0,78,0,0,0,0,0,0,0,,,,,VALID,230,37,00:52:10,00:50:10
01:15,20271974230,2300901418,19176504,7749831,0,NORMAL,0,NORMAL,0,NORMAL,5672,149020,1895908,3711223,1753177,2279886,1026418,362147,663778,368879,13822000,848229,0,NORMAL,0,NORMAL,0,0,4433,180,1237,9,0,NORMAL,0,0,0,0,0,0,112,0,0,0,0,0,0,0,,,,,VALID,237,27,01:11:20,01:07:10
01:30,18779367170,2178316846,18082897,7328605,0,NORMAL,0,NORMAL,0,NORMAL,1644,148005,1925719,3588793,1765406,2013073,1085330,378256,560547,348388,12742800,822780,0,NORMAL,0,NORMAL,0,0,4435,180,1653,9,0,NORMAL,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,,VALID,213,32,01:15:40,01:22:40
01:45,16122636782,1868607987,15841878,6618328,0,NORMAL,0,NORMAL,0,NORMAL,2010,150773,1887647,3034337,1660430,2091026,861041,354547,527393,319577,10895288,639599,0,NORMAL,0,NORMAL,0,0,4427,180,1568,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,213,23,01:43:00,01:34:20
02:00,14568417270,1824002465,14292372,5946957,0,NORMAL,0,NORMAL,0,NORMAL,6078,151767,1699030,2681523,1444998,1737558,781943,340159,536222,338612,9801368,669249,0,NORMAL,0,NORMAL,0,0,4430,179,1679,6,0,NORMAL,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,,,,VALID,189,21,01:56:40,01:58:40
02:15,14456086146,2192701917,14300713,6338596,0,NORMAL,0,NORMAL,0,NORMAL,1655,151974,1828511,2975678,1465600,1619318,872679,344160,515810,249878,9615034,969789,0,NORMAL,0,NORMAL,0,0,4428,180,1685,0,0,NORMAL,0,0,0,0,0,0,103,0,0,0,0,0,0,0,,,,,VALID,187,30,02:03:00,02:06:50
02:30,12968443532,1721845114,12910979,5499334,0,NORMAL,0,NORMAL,0,NORMAL,28634,151907,1728811,2493976,1351160,1631453,642723,272505,433999,236709,8697596,680495,0,NORMAL,0,NORMAL,0,0,4439,181,1372,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,198,25,02:18:50,02:15:40
02:45,10383141189,1468173849,10436226,4568365,0,NORMAL,0,NORMAL,0,NORMAL,1471,151256,1254441,1949007,1294738,1413889,552742,232007,323542,193455,7007697,601260,0,NORMAL,0,NORMAL,0,0,4434,179,1242,0,0,NORMAL,0,0,0,0,0,0,80,0,0,0,0,0,0,0,,,,,VALID,156,21,02:34:40,02:34:30
03:00,8926580721,1241375811,8915890,3863531,0,NORMAL,0,NORMAL,0,NORMAL,1407,150611,1038258,1608398,1079340,1157074,497102,236476,257502,193983,6041259,489897,0,NORMAL,0,NORMAL,0,0,4425,179,1223,0,0,NORMAL,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,VALID,128,19,02:50:30,02:54:10
03:15,8559385307,1764717412,8515578,4053857,0,NORMAL,0,NORMAL,0,NORMAL,1271,152135,1010758,1567388,1020365,1075647,514867,167148,244645,159053,5722541,906440,0,NORMAL,0,NORMAL,0,0,4432,179,1197,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,115,30,03:02:30,03:07:30
03:30,7653175838,1327840019,7548843,3607223,0,NORMAL,0,NORMAL,0,NORMAL,1473,148657,909395,1519464,922532,1017689,356766,135471,213304,141475,5143722,617607,0,NORMAL,0,NORMAL,0,0,4427,179,2499,0,0,NORMAL,0,0,0,0,0,0,99,0,0,0,0,0,0,0,,,,,VALID,145,20,03:15:20,03:27:00
