15min Data - Radio LAG (Radio GRP1)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,3122239,30861,36088,215,2476,NORMAL,0,NORMAL,0,NORMAL,10224,92,22365,1,3246,104,141,0,112,18,0,0,0,NORMAL,0,NORMAL,0,0,5999,180,9495,0,0,NORMAL,0,2476,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,00:14:50,00:14:50
00:30,3302525,19017,38006,182,2468,NORMAL,0,NORMAL,0,NORMAL,10245,91,24002,0,3472,91,157,0,130,0,0,0,0,NORMAL,0,NORMAL,0,0,5979,180,9248,0,0,NORMAL,0,2468,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,00:29:50,00:29:50
00:45,1977695,32819,24050,256,2473,NORMAL,0,NORMAL,0,NORMAL,10199,109,12467,41,1284,96,52,3,48,3,0,1,0,NORMAL,0,NORMAL,0,0,5995,180,9204,0,0,NORMAL,0,2473,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,00:44:50,00:44:50
01:00,1381236,19017,18063,182,2467,NORMAL,0,NORMAL,0,NORMAL,10115,91,7849,0,99,91,0,0,0,0,0,0,0,NORMAL,0,NORMAL,0,0,5983,180,9532,0,0,NORMAL,0,2467,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,00:59:50,00:59:50
01:15,2752732,119543,32393,531,2476,NORMAL,0,NORMAL,0,NORMAL,10478,173,19227,164,2480,109,119,5,89,43,0,17,0,NORMAL,0,NORMAL,0,0,5995,180,9486,0,0,NORMAL,0,2476,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,01:14:50,01:14:50
01:30,2766953,68056,32129,338,2471,NORMAL,0,NORMAL,0,NORMAL,10379,126,18780,71,2758,109,104,0,108,11,0,6,0,NORMAL,0,NORMAL,0,0,5983,180,9278,0,0,NORMAL,0,2471,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,01:29:50,01:29:50
01:45,3278004,19017,37816,182,2467,NORMAL,0,NORMAL,0,NORMAL,10228,91,23951,0,3345,91,167,0,123,0,0,0,0,NORMAL,0,NORMAL,0,0,5978,180,9299,0,0,NORMAL,0,2467,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,01:44:50,01:44:50
02:00,3144848,18784,36225,181,2474,NORMAL,0,NORMAL,0,NORMAL,10153,91,22632,0,3147,90,156,0,132,0,3,0,0,NORMAL,0,NORMAL,0,0,5987,180,9275,0,0,NORMAL,0,2474,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,01:59:50,01:59:50
02:15,2885932,19017,33768,182,2467,NORMAL,0,NORMAL,0,NORMAL,10970,91,19666,0,2891,91,128,0,113,0,0,0,0,NORMAL,0,NORMAL,0,0,5977,180,9987,0,0,NORMAL,0,2467,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,02:14:50,02:14:50
02:30,2858910,31472,34013,237,2471,NORMAL,0,NORMAL,0,NORMAL,12022,104,18918,27,2803,91,153,2,117,12,0,1,0,NORMAL,0,NORMAL,0,0,5987,180,10960,0,0,NORMAL,0,2471,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,02:29:50,02:29:50
02:45,2770160,19081,33088,183,2466,NORMAL,0,NORMAL,0,NORMAL,12011,92,18132,0,2689,91,148,0,108,0,0,0,0,NORMAL,0,NORMAL,0,0,5980,180,11082,0,0,NORMAL,0,2466,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,02:44:50,02:44:50
03:00,2603214,71385,30869,362,2473,NORMAL,0,NORMAL,0,NORMAL,12083,133,15745,84,2830,97,91,3,120,27,0,8,0,NORMAL,0,NORMAL,0,0,5986,179,11081,0,0,NORMAL,0,2473,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,02:59:50,02:59:50
03:15,2986681,18784,35397,181,2468,NORMAL,0,NORMAL,0,NORMAL,11995,91,20132,0,2983,90,158,0,127,0,1,0,0,NORMAL,0,NORMAL,0,0,5979,180,11042,0,0,NORMAL,0,2468,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,03:14:50,03:14:50
03:30,2851815,19179,33819,184,2468,NORMAL,0,NORMAL,0,NORMAL,11720,92,18897,1,2954,91,135,0,113,0,0,0,0,NORMAL,0,NORMAL,0,0,5983,180,10935,0,0,NORMAL,0,2468,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,03:29:50,03:29:50
03:45,2727217,18720,32044,180,2470,NORMAL,0,NORMAL,0,NORMAL,11223,90,17506,0,3089,90,112,0,114,0,0,0,0,NORMAL,0,NORMAL,0,0,5982,180,10411,0,0,NORMAL,0,2470,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,03:44:50,03:44:50
04:00,3057089,53289,35725,406,2471,NORMAL,0,NORMAL,0,NORMAL,11323,92,20622,16,3504,298,152,0,123,0,1,0,0,NORMAL,0,NORMAL,0,0,5986,180,10554,0,0,NORMAL,0,2471,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,03:59:50,03:59:50
04:15,2630647,18784,30980,181,2469,NORMAL,0,NORMAL,0,NORMAL,11323,91,16483,0,2949,90,114,0,109,0,2,0,0,NORMAL,0,NORMAL,0,0,5988,180,10527,0,0,NORMAL,0,2469,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,04:14:50,04:14:50
04:30,1665727,19017,21005,182,2470,NORMAL,0,NORMAL,0,NORMAL,11321,91,8412,0,1196,91,30,0,46,0,0,0,0,NORMAL,0,NORMAL,0,0,5982,180,10584,0,0,NORMAL,0,2470,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,0,0,04:29:50,04:29:50
