15min Data - Radio LAG (Radio GRP1)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,15291642602,3188958423,15217692,8201060,0,NORMAL,0,NORMAL,0,NORMAL,5982,135820,2376074,3663658,1400410,2089643,625181,367750,480834,458816,10318194,1467312,0,NORMAL,0,NORMAL,0,0,4283,180,627,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,,,VALID,168,40,00:01:00,00:02:50
00:30,15751348640,2347268936,15414345,7814181,0,NORMAL,0,NORMAL,0,NORMAL,5769,142080,2339149,3865937,1248620,2209195,658790,383447,472926,375689,10681393,818657,0,NORMAL,2,NORMAL,0,0,4112,180,562,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,173,31,00:19:40,00:25:00
00:45,13955685129,2437759434,14635776,8204563,0,NORMAL,0,NORMAL,0,NORMAL,8504,146809,2747590,4225233,1394195,2220277,738998,373691,456659,369163,9288515,849563,0,NORMAL,7,NORMAL,0,0,3998,181,536,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,155,36,00:44:20,00:37:30
01:00,12935075481,1662887167,12174864,5848190,0,NORMAL,0,NORMAL,0,NORMAL,5908,145501,1656549,3056021,906566,1541157,470430,260347,345711,275987,8780020,552398,0,NORMAL,0,NORMAL,0,0,4276,179,734,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,152,22,00:54:10,00:46:30
01:15,12650520508,1617114717,12167123,5771992,0,NORMAL,0,NORMAL,0,NORMAL,5806,146370,1821655,2983983,923019,1565902,517252,264344,378016,271044,8519938,519915,0,NORMAL,0,NORMAL,0,0,4280,180,756,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,44,0,0,0,,,,,VALID,157,23,01:14:20,01:01:40
01:30,12127814249,1656170557,11705697,5522993,0,NORMAL,0,NORMAL,0,NORMAL,6121,140395,1824128,2739745,860631,1518739,443742,252759,342919,279759,8227532,573086,0,NORMAL,0,NORMAL,0,0,4295,180,545,6,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,149,28,01:19:20,01:28:40
01:45,10774451672,1851360198,10441847,5291677,0,NORMAL,0,NORMAL,0,NORMAL,5799,158212,1641669,2544908,843100,1349569,421362,218590,258034,221164,7271170,777623,0,NORMAL,4,NORMAL,0,0,4301,180,482,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,,,,VALID,138,26,01:37:10,01:32:20
02:00,10524186276,1791998657,10147695,4982862,0,NORMAL,0,NORMAL,0,NORMAL,5512,142858,1500979,2361240,781560,1260490,438724,203637,292119,224581,7116419,773353,0,NORMAL,0,NORMAL,0,0,4292,181,514,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,149,33,01:57:10,01:55:50
02:15,12173719060,1849236702,11329148,5393153,0,NORMAL,0,NORMAL,0,NORMAL,5908,137698,1541147,2520311,748006,1486098,457235,235159,292170,211758,8283918,785835,0,NORMAL,0,NORMAL,0,0,4292,178,479,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,62,0,0,0,,,,,VALID,151,27,02:14:50,02:03:00
02:30,12891302473,1882534882,11822916,5482262,0,NORMAL,0,NORMAL,0,NORMAL,5767,138548,1611983,2581223,725319,1471812,441083,275324,245238,202417,8784576,796566,0,NORMAL,0,NORMAL,0,0,4281,180,486,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,24,0,0,0,,,,,VALID,144,39,02:27:00,02:22:00
02:45,13126330726,1974551341,12017717,5694653,0,NORMAL,0,NORMAL,0,NORMAL,12494,139649,1549006,2633266,764315,1538700,378995,227768,298435,307648,8955249,831298,0,NORMAL,2276,NORMAL,0,0,4272,181,436,6,0,NORMAL,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,,,VALID,170,33,02:42:10,02:37:50
03:00,11021059035,2140252368,10534937,5344366,0,NORMAL,0,NORMAL,0,NORMAL,6506,138672,1612228,2345696,739998,1336166,367684,218677,345192,275982,7418188,1012858,0,NORMAL,0,NORMAL,0,0,4283,180,581,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,145,48,02:56:20,02:56:40
03:15,12417662754,2159757467,11709189,5632584,0,NORMAL,0,NORMAL,0,NORMAL,16285,141124,1789374,2629442,805304,1399093,349255,214567,325732,262976,8382389,968453,0,NORMAL,0,NORMAL,0,0,4276,178,496,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,148,43,03:13:40,03:10:20
03:30,13361174264,1367043686,11951022,5466127,0,NORMAL,0,NORMAL,0,NORMAL,5195,152529,1418705,3053396,803964,1434349,344611,176667,265790,205889,9044129,425811,0,NORMAL,0,NORMAL,0,0,4284,180,718,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,42,0,0,0,,,,,VALID,156,20,03:19:40,03:17:30
03:45,12357870546,1556146523,11279343,5338352,0,NORMAL,0,NORMAL,0,NORMAL,5676,157632,1370163,2815846,853585,1352584,359517,165621,287399,270842,8393944,559351,0,NORMAL,5,NORMAL,0,0,4281,180,704,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,41,0,0,0,,,,,VALID,154,24,03:41:10,03:42:50
04:00,14466747458,1837466163,13083871,6094165,0,NORMAL,0,NORMAL,0,NORMAL,6061,144372,1604884,2977624,881101,1731195,391910,224684,302515,354338,9897004,645330,0,NORMAL,0,NORMAL,0,0,4268,179,525,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,70,0,0,0,,,,,VALID,164,27,03:59:10,03:50:00
04:15,14550902500,1703422748,12990689,5941248,0,NORMAL,0,NORMAL,0,NORMAL,6153,147276,1454645,2975684,822395,1699770,409691,217177,277694,294761,10019414,586545,0,NORMAL,0,NORMAL,0,0,4282,180,677,9,0,NORMAL,0,0,0,0,0,0,0,0,0,0,77,0,0,0,,,,,VALID,174,19,04:05:50,04:08:30
04:30,14124948370,1963571409,13108702,6502882,0,NORMAL,0,NORMAL,0,NORMAL,14156,157926,1732926,3222667,941339,1827225,455724,248210,328223,319036,9622634,710997,0,NORMAL,0,NORMAL,0,0,4288,180,520,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,158,27,04:19:10,04:16:50
04:45,16483482436,2607778623,15512582,8174133,0,NORMAL,0,NORMAL,0,NORMAL,33136,141447,2073387,3850527,1102915,2442424,558386,315793,441336,395010,11258309,1009728,0,NORMAL,0,NORMAL,0,0,4256,179,508,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,179,38,04:37:10,04:39:50
05:00,17081373511,2390437983,15966279,8500833,0,NORMAL,0,NORMAL,0,NORMAL,10313,136019,2143690,4067246,1144253,2788812,549683,319472,380530,371879,11736761,776151,0,NORMAL,0,NORMAL,0,0,4237,179,595,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,181,34,04:52:00,04:50:20
05:15,17144691402,2960919312,16432644,9363937,0,NORMAL,0,NORMAL,0,NORMAL,10489,152906,2310848,4290736,1368630,2947765,656894,373165,361556,446796,11721675,1090854,0,NORMAL,0,NORMAL,0,0,4250,180,680,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VALID,176,37,05:14:00,05:05:10
