15min Data - Radio LAG(Radio GRP2)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,Record Status
00:15,16284112077,1536753324,15928161,5351719,0,NORMAL,0,NORMAL,0,NORMAL,15949,272993,1827587,2334670,1595907,1673459,908134,251260,447350,258949,11130433,523219,0,NORMAL,0,NORMAL,0,0,8012,181,1110,1,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
00:30,15634750530,1564657558,15363772,5237011,0,NORMAL,0,NORMAL,0,NORMAL,25907,270542,1707775,2319284,1678820,1622177,798710,181959,475841,231227,10664689,556439,0,NORMAL,0,NORMAL,0,0,7987,179,901,0,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
00:45,15018404049,1523251346,14698281,5159267,0,NORMAL,0,NORMAL,0,NORMAL,16529,278300,1603121,2205396,1674938,1644993,713919,217706,481048,221962,10203750,494726,0,NORMAL,0,NORMAL,0,0,7984,180,905,1,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
01:00,12644663834,1361712448,12808120,4341854,0,NORMAL,0,NORMAL,0,NORMAL,17083,271097,1501758,1789079,1539369,1341537,710122,178879,423939,174963,8611705,563203,0,NORMAL,0,NORMAL,0,0,7892,178,666,1,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
01:15,14099331471,1324279992,13879162,4833675,0,NORMAL,0,NORMAL,0,NORMAL,21961,275722,1638831,2114864,1415683,1532109,904172,239058,387273,174774,9501419,474128,0,NORMAL,0,NORMAL,0,0,7958,181,667,1,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
01:30,11086304374,1235266030,11317627,4269180,0,NORMAL,0,NORMAL,0,NORMAL,13010,279928,1558591,1807548,1289413,1307182,721716,213617,276622,182219,7454662,440464,0,NORMAL,0,NORMAL,0,0,7986,180,656,2,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
01:45,9569603215,1002941092,9775488,3835945,0,NORMAL,0,NORMAL,0,NORMAL,19200,271840,1413319,1605446,1140597,1309782,440602,114268,296944,218190,6454334,290067,0,NORMAL,0,NORMAL,0,0,7991,180,724,0,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
02:00,9546093480,1134038040,9483626,3978535,0,NORMAL,0,NORMAL,0,NORMAL,19416,284437,1307020,1781116,1046511,1208367,371674,105005,269570,184162,6459816,318040,0,NORMAL,0,NORMAL,0,0,8010,180,767,0,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
02:15,7132196398,912372816,7275618,3416555,0,NORMAL,0,NORMAL,0,NORMAL,9750,281016,958505,1511020,951970,1014560,339858,136259,180084,150395,4833079,300570,0,NORMAL,0,NORMAL,0,0,7920,177,683,1,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
02:30,7589114974,947266462,7720445,3462209,0,NORMAL,0,NORMAL,0,NORMAL,8800,280453,1067280,1454875,1006276,1094760,288451,154845,187991,144663,5153873,295741,0,NORMAL,0,NORMAL,0,0,7989,180,549,1,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
02:45,8269308675,878569759,8371731,3235533,0,NORMAL,0,NORMAL,0,NORMAL,8081,279210,1206922,1266810,1061045,1096991,229074,140703,189446,171002,5665657,259784,0,NORMAL,0,NORMAL,0,0,7992,181,580,1,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
03:00,7446782028,922782228,7573462,3197207,0,NORMAL,0,NORMAL,0,NORMAL,8213,288326,1133330,1269981,912570,1026587,257645,117881,149031,192668,5102137,267485,0,NORMAL,0,NORMAL,0,0,8001,180,503,0,0,NORMAL,0,0,0,0,0,0,0,0,0,VALID
