15min Data - Main Board MODEM1
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,Record Status
00:15,5601092046,834160724,5879784,3058600,0,NORMAL,0,NORMAL,0,NORMAL,5118,201177,860152,1312518,888695,986540,195655,109225,211993,162206,3717343,266746,0,NORMAL,0,NORMAL,0,0,6500,181,1896,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
00:30,5350837295,763876684,5746445,2971434,0,NORMAL,0,NORMAL,0,NORMAL,5157,204710,828000,1242546,898176,1019225,279302,126155,156927,111501,3578145,246716,0,NORMAL,0,NORMAL,0,0,6420,177,1803,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
00:45,6342296835,965767866,6392006,3256113,0,NORMAL,0,NORMAL,0,NORMAL,5276,226473,903848,1416457,918122,1030382,124561,82782,98431,89992,4340959,389705,0,NORMAL,0,NORMAL,0,0,6479,181,1943,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
01:00,6706709577,875977932,6717590,3286060,0,NORMAL,0,NORMAL,0,NORMAL,5226,198189,869114,1438484,933731,1097590,179928,113650,125720,105466,4603110,312352,0,NORMAL,0,NORMAL,0,0,6498,180,2006,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
01:15,6016495098,644713812,6161747,2923586,0,NORMAL,0,NORMAL,0,NORMAL,4756,210379,808555,1247383,935889,1105268,165212,96643,100264,81764,4146038,161606,0,NORMAL,0,NORMAL,0,0,6483,180,1933,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
01:30,5051827851,540290426,5247481,2618870,0,NORMAL,0,NORMAL,0,NORMAL,5095,215480,732493,1139082,865846,976164,115448,73526,85498,88222,3442262,106529,0,NORMAL,0,NORMAL,0,0,6473,180,1966,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
01:45,5214295066,648382991,5411223,2672026,0,NORMAL,0,NORMAL,0,NORMAL,4855,210282,717761,1152374,873404,911095,151868,82079,98602,123240,3557141,172760,0,NORMAL,0,NORMAL,0,0,6411,177,1827,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
02:00,5099312648,613370633,5226667,2717369,0,NORMAL,0,NORMAL,0,NORMAL,5167,229144,735330,1197143,810906,937477,139482,92346,79046,93034,3451399,148301,0,NORMAL,0,NORMAL,0,0,6489,180,2014,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
02:15,6541496039,869736368,6410582,3150289,0,NORMAL,0,NORMAL,0,NORMAL,4875,205308,749687,1273218,886868,1084152,173970,119209,117141,155147,4477218,294130,0,NORMAL,0,NORMAL,0,0,6484,180,1933,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
02:30,5531131155,1099564750,5815714,3228220,0,NORMAL,0,NORMAL,0,NORMAL,4867,206889,859060,1265260,924208,996749,158023,126512,116495,136226,3752264,476772,0,NORMAL,0,NORMAL,0,0,6495,180,1797,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
02:45,5970129310,982897677,6012254,3229650,0,NORMAL,0,NORMAL,0,NORMAL,5190,212793,876710,1381328,858166,1011315,147762,99762,116199,121967,4007436,381521,0,NORMAL,0,NORMAL,0,0,6418,178,1935,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
03:00,7004935567,936726932,6893471,3521187,0,NORMAL,0,NORMAL,0,NORMAL,5462,185486,899754,1645183,925220,1102902,164501,99640,187929,144587,4709785,321499,0,NORMAL,0,NORMAL,0,0,6480,180,1936,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
03:15,8407971570,831222561,7780522,3405489,0,NORMAL,0,NORMAL,0,NORMAL,5424,192652,792716,1627572,851675,1077930,150955,103118,142381,135149,5836555,248695,0,NORMAL,0,NORMAL,0,0,6488,180,1986,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
03:30,7567736091,990723765,7886533,4021865,0,NORMAL,0,NORMAL,0,NORMAL,4928,207486,931337,1884001,911484,1331780,170298,114905,1193380,159937,4654520,302732,0,NORMAL,0,NORMAL,0,0,6488,180,1850,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
03:45,6589039882,902596531,6579659,3360547,0,NORMAL,0,NORMAL,0,NORMAL,5077,203681,872957,1470857,902004,1108461,134673,109691,164438,156727,4498640,290275,0,NORMAL,0,NORMAL,0,0,6499,180,1914,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
04:00,6761854145,818828032,6658781,3262185,0,NORMAL,0,NORMAL,0,NORMAL,4879,198614,820373,1427023,906206,1147717,140428,98025,139363,120083,4631652,250595,0,NORMAL,0,NORMAL,0,0,6418,178,1960,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
04:15,7513590406,992776684,7315911,3443702,0,NORMAL,0,NORMAL,0,NORMAL,5021,205868,857637,1478305,945926,1134663,165197,99289,176522,135469,5163763,369472,0,NORMAL,0,NORMAL,0,0,6490,180,1923,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
04:30,6973054890,1238037637,6988966,3514307,0,NORMAL,0,NORMAL,0,NORMAL,5146,224233,985162,1377341,881074,1060907,182719,117239,199316,179734,4734721,534150,0,NORMAL,0,NORMAL,0,0,6473,180,1801,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
04:45,6106837282,1289455540,6311435,3232259,0,NORMAL,0,NORMAL,0,NORMAL,5311,218223,991256,1153800,838801,994812,157536,91021,194886,162727,4122827,590473,0,NORMAL,0,NORMAL,0,0,6492,180,1926,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
05:00,5823604937,1084380492,5991110,3122654,0,NORMAL,0,NORMAL,0,NORMAL,4802,185643,841726,1160616,854268,1042529,188430,118104,159436,128504,3941652,466002,0,NORMAL,0,NORMAL,0,0,6427,178,1837,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
05:15,5759158575,858385774,5817069,3072150,0,NORMAL,0,NORMAL,0,NORMAL,4547,214833,732766,1237433,854849,1056198,171440,83289,141339,142263,3911300,315944,0,NORMAL,0,NORMAL,0,0,6480,180,1858,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
05:30,7247188270,872059569,7033399,3526930,0,NORMAL,0,NORMAL,0,NORMAL,4559,210270,846936,1593211,914026,1179711,212643,113792,166087,161460,4888393,248693,0,NORMAL,0,NORMAL,0,0,6482,180,1778,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
05:45,7226523473,1081954604,7275363,3634058,0,NORMAL,0,NORMAL,0,NORMAL,5226,200137,851661,1387080,1017824,1269007,268422,154516,222414,211578,4909062,390796,0,NORMAL,0,NORMAL,0,0,6475,180,2116,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
