15min Data - GbE4f-AV (Slot09) (Port01)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,SFP RX Power (MIN) [dBm],Status,SFP TX Power (MIN) [dBm],Status,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,35957387086,5118869298,32454546,15176990,0,NORMAL,0,NORMAL,0,NORMAL,8981,748258,3510330,7248857,2393844,3548400,980775,558743,839052,757997,24488472,2227032,0,NORMAL,0,NORMAL,0,0,0,535,2453,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-07.9,NORMAL,-04.5,NORMAL,VALID,426,65,00:02:10,00:01:50
00:30,30717844638,4134174053,28350362,13331640,0,NORMAL,0,NORMAL,0,NORMAL,10169,715847,3323247,6465877,2313083,3185520,838436,477756,879131,805933,20918922,1594396,0,NORMAL,0,NORMAL,0,0,0,541,2465,6,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-07.8,NORMAL,-04.5,NORMAL,VALID,352,49,00:20:50,00:17:10
00:45,26378510855,3723006545,24734399,12025251,0,NORMAL,0,NORMAL,0,NORMAL,8219,723339,3089416,5714555,2155485,2829342,797137,502735,833091,750188,17815677,1421708,0,NORMAL,0,NORMAL,0,0,0,540,2488,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-07.7,NORMAL,-04.5,NORMAL,VALID,303,43,00:39:30,00:39:50
01:00,23706059116,3317867739,22406009,10927996,0,NORMAL,0,NORMAL,0,NORMAL,6512,749714,2890747,5125938,2059695,2669060,613121,371537,654567,668676,16132097,1261830,0,NORMAL,0,NORMAL,0,0,0,539,2305,12,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-07.7,NORMAL,-04.5,NORMAL,VALID,273,42,00:57:20,00:51:50
01:15,21197585693,2933775737,20292329,9911028,0,NORMAL,0,NORMAL,0,NORMAL,6381,678950,2706912,4641469,1973904,2532797,570746,328585,583343,547938,14390519,1102058,0,NORMAL,0,NORMAL,0,0,0,540,2222,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-07.8,NORMAL,-04.5,NORMAL,VALID,284,32,01:02:30,01:09:40
01:30,18448962871,2869783719,18055710,9324123,0,NORMAL,0,NORMAL,0,NORMAL,6499,719685,2601113,4079094,1750224,2466876,559867,335689,540665,498943,12392405,1144495,0,NORMAL,0,NORMAL,0,0,0,538,2177,9,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-07.8,NORMAL,-04.5,NORMAL,VALID,248,39,01:17:50,01:22:00
01:45,15339637640,2671104673,15608566,8463103,0,NORMAL,0,NORMAL,0,NORMAL,6875,753966,2440257,3616608,1724493,2104331,477636,325433,536151,491044,10341440,1092837,0,NORMAL,0,NORMAL,0,0,0,540,2280,6,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-07.8,NORMAL,-04.5,NORMAL,VALID,180,33,01:41:50,01:36:50
02:00,13677498536,2163177652,14089587,7574931,0,NORMAL,0,NORMAL,0,NORMAL,7180,795633,2396925,3357633,1533229,1905059,410770,264822,472256,430184,9242928,743299,0,NORMAL,0,NORMAL,0,0,0,540,2099,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-07.8,NORMAL,-04.5,NORMAL,VALID,180,29,01:54:50,01:52:20
02:15,12903730633,2140566144,13245720,7526252,0,NORMAL,0,NORMAL,0,NORMAL,6735,809831,2307633,3303916,1434851,1913753,375608,237803,399894,399480,8693888,784045,0,NORMAL,0,NORMAL,0,0,0,540,2080,6,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-07.8,NORMAL,-04.5,NORMAL,VALID,200,32,02:07:40,02:07:30
02:30,14806328297,2365178527,14543579,8092231,0,NORMAL,0,NORMAL,0,NORMAL,7335,754646,2328946,3724559,1459567,1981043,370373,242178,462693,375070,9868380,937496,0,NORMAL,0,NORMAL,0,0,0,540,2177,12,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-07.8,NORMAL,-04.5,NORMAL,VALID,273,29,02:18:10,02:24:10
