15min Data - GbE4f-AV (Slot09) (Port02)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,SFP RX Power (MIN) [dBm],Status,SFP TX Power (MIN) [dBm],Status,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,4370755076,1003045602,4608590,2815075,2472,NORMAL,0,NORMAL,0,NORMAL,131587,11590,919277,1358191,381557,732964,107477,181955,103073,74692,2953204,440787,0,NORMAL,0,NORMAL,0,0,6028,4970,19193,11147,0,NORMAL,0,2472,0,0,0,0,0,0,0,0,0,0,0,0,-05.4,NORMAL,-05.9,NORMAL,VALID,73,34,00:05:50,00:01:10
00:30,4110259162,619856693,4102822,2355436,2470,NORMAL,0,NORMAL,0,NORMAL,87556,11470,746586,1366651,290392,562317,91930,135597,87519,69859,2793842,195679,0,NORMAL,0,NORMAL,0,0,6016,4960,19005,11722,0,NORMAL,0,2470,0,0,0,0,0,0,0,0,0,0,0,0,-05.4,NORMAL,-05.9,NORMAL,VALID,63,11,00:27:50,00:16:10
00:45,4034959580,465840811,4092328,2087742,2468,NORMAL,0,NORMAL,0,NORMAL,89017,11492,798189,1199187,275036,615542,92753,91261,80943,50961,2752419,104829,0,NORMAL,0,NORMAL,0,0,6025,4958,20871,11788,0,NORMAL,0,2468,0,0,0,0,0,0,0,0,0,0,0,0,-05.4,NORMAL,-05.9,NORMAL,VALID,64,15,00:35:20,00:32:40
01:00,4009730405,583754088,4078600,2086175,2467,NORMAL,0,NORMAL,0,NORMAL,87656,11520,770729,1160960,307535,562788,92997,90588,70200,50158,2745368,197314,0,NORMAL,0,NORMAL,0,0,6025,4962,20657,12113,0,NORMAL,0,2467,0,0,0,0,0,0,0,0,0,0,0,0,-05.4,NORMAL,-05.9,NORMAL,VALID,73,36,00:55:10,00:54:00
01:15,4190826242,563190505,4187322,2150704,2465,NORMAL,0,NORMAL,0,NORMAL,92725,11988,735751,1196531,328791,586366,80315,91992,60376,79468,2879499,171461,0,NORMAL,0,NORMAL,0,0,6013,4959,20564,12416,0,NORMAL,0,2465,0,0,0,0,0,0,0,0,0,0,0,0,-05.4,NORMAL,-05.9,NORMAL,VALID,84,32,01:10:10,01:07:30
01:30,3193599660,465816829,3378968,1981544,2470,NORMAL,0,NORMAL,0,NORMAL,82807,13180,697453,1179397,299881,524798,77486,80396,52930,48161,2167775,124527,0,NORMAL,0,NORMAL,0,0,6025,4968,22687,13500,0,NORMAL,0,2470,0,0,0,0,0,0,0,0,0,0,0,0,-05.4,NORMAL,-05.9,NORMAL,VALID,48,18,01:29:10,01:29:10
01:45,4180315217,578389456,4107846,2410657,2467,NORMAL,0,NORMAL,0,NORMAL,96260,15379,753986,1512567,277481,569996,73746,81986,50517,51742,2839880,168079,0,NORMAL,0,NORMAL,0,0,6020,4962,26251,15614,0,NORMAL,0,2467,0,0,0,0,0,0,0,0,0,0,0,0,-05.4,NORMAL,-05.9,NORMAL,VALID,78,36,01:34:30,01:42:00
02:00,3758849613,456806296,3815892,2389489,2469,NORMAL,0,NORMAL,0,NORMAL,108206,15354,742742,1586154,287285,582195,75666,65095,50569,44335,2544506,85141,0,NORMAL,0,NORMAL,0,0,6022,4958,26511,15738,0,NORMAL,0,2469,0,0,0,0,0,0,0,0,0,0,0,0,-05.4,NORMAL,-05.9,NORMAL,VALID,64,8,01:59:10,01:58:50
02:15,6935250405,656008762,6113482,2622992,2471,NORMAL,0,NORMAL,0,NORMAL,93334,16140,739619,1564458,282539,695968,86520,77460,60639,55368,4847470,202493,0,NORMAL,0,NORMAL,0,0,6027,4965,26918,16366,0,NORMAL,0,2471,0,0,0,0,0,0,0,0,0,0,0,0,-05.4,NORMAL,-05.9,NORMAL,VALID,113,17,02:13:00,02:05:00
02:30,6990367033,604774842,6036239,2907466,2469,NORMAL,0,NORMAL,0,NORMAL,102075,16335,724055,1967617,290506,606811,87561,90394,79464,75275,4738709,139399,0,NORMAL,0,NORMAL,0,0,6018,4962,26950,16590,0,NORMAL,0,2469,0,0,0,0,0,0,0,0,0,0,0,0,-05.4,NORMAL,-05.9,NORMAL,VALID,145,36,02:19:40,02:21:50
