15min Data - Radio LAG (Radio GRP1)
Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status,RX Fragments,Status,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status,RX Oversize Pkts,Status,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,TX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,,,,,Record Status,RX Peak Rate [Mbps],TX Peak Rate [Mbps],RX Peak Detect Time,TX Peak Detect Time
00:15,27158509752,3589183648,24756290,10513193,0,NORMAL,0,NORMAL,0,NORMAL,11371,203594,2679963,5337578,1711668,2376027,1090628,510607,660193,598871,18585812,1456016,0,NORMAL,0,NORMAL,0,0,923,179,908,9,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,317,47,00:02:50,00:03:10
00:30,23081627215,3037378566,21606004,8800557,0,NORMAL,0,NORMAL,0,NORMAL,9313,205744,2357038,4130084,1683217,2186514,1228061,510586,806234,533031,15515525,1197959,0,NORMAL,0,NORMAL,0,0,885,181,1067,30,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,264,48,00:16:20,00:17:20
00:45,22714904625,2518749889,20686298,8422086,0,NORMAL,0,NORMAL,0,NORMAL,43192,202487,2026927,4203335,1590056,2133589,904368,426594,768201,490382,15249228,935441,0,NORMAL,0,NORMAL,0,0,914,179,914,24,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,273,30,00:33:20,00:30:50
01:00,17474369250,2311877922,16388475,7027646,0,NORMAL,0,NORMAL,0,NORMAL,21780,199526,1812488,3330442,1429570,1724778,685911,348441,536805,446997,11880258,949672,0,NORMAL,0,NORMAL,0,0,889,180,908,18,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,220,30,00:51:40,00:51:10
01:15,15890508162,2162066633,14872253,6477411,0,NORMAL,0,NORMAL,0,NORMAL,2806,202084,1602505,3062122,1284695,1539658,664086,345943,466794,366130,10835916,920228,0,NORMAL,0,NORMAL,0,0,875,181,818,12,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,203,25,01:07:20,01:02:40
01:30,13612071627,2066104891,13179150,6003906,0,NORMAL,0,NORMAL,0,NORMAL,2512,203046,1501046,2871741,1201380,1351291,776833,296067,447109,375886,9240001,879400,0,NORMAL,0,NORMAL,0,0,928,179,1264,3,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,174,30,01:17:50,01:29:30
01:45,12006514818,1771081986,11928968,5364714,0,NORMAL,0,NORMAL,0,NORMAL,2508,198568,1471580,2565421,1147259,1236120,765386,280826,447149,328901,8093938,729360,0,NORMAL,0,NORMAL,0,0,896,181,1106,6,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,162,22,01:30:20,01:44:30
02:00,11660857128,1814282377,11714591,5241152,0,NORMAL,0,NORMAL,0,NORMAL,11133,198041,1482496,2399623,1083308,1238049,831981,289319,413340,286918,7882213,803656,0,NORMAL,0,NORMAL,0,0,922,180,1249,51,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,153,29,01:46:10,01:49:30
02:15,11799478446,1550497136,11541757,4696505,0,NORMAL,0,NORMAL,0,NORMAL,2301,200678,1273815,2148835,1037935,1172835,826783,219044,353967,269399,8044717,660767,0,NORMAL,0,NORMAL,0,0,894,179,1094,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,172,22,02:03:40,02:01:00
02:30,10292706682,1336373417,9990663,4305512,0,NORMAL,0,NORMAL,0,NORMAL,2482,200572,1161160,2011496,963805,1129559,601688,168470,298209,252170,6962707,515453,0,NORMAL,0,NORMAL,0,0,892,180,1148,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MAINT,161,31,02:19:00,02:22:00
