Time Stamp,RX Octs,TX Octs,RX Pkts,TX Pkts,RX Drop Events,Status,RX Undersize Pkts,Status.1,RX Fragments,Status.2,RX 64Octs,TX 64Octs,RX 65 to 127Octs,TX 65 to 127Octs,RX 128 to 255Octs,TX 128 to 255Octs,RX 256 to 511Octs,TX 256 to 511Octs,RX 512 to 1023Octs,TX 512 to 1023Octs,RX 1024 to 1518Octs,TX 1024 to 1518Octs,RX CRC Alignment Errors,Status.3,RX Oversize Pkts,Status.4,TX Oversize Pkts,RX Jabbers,RX Multicast Pkts,TX Multicast Pkts,RX Broadcast Pkts,TX Broadcast Pkts,TX Collisions,Status.5,RX Unknown TPID,RX Unknown VID,RX MAC Limit,RX Filter Discard,RX QoS Discard,TX Queue0 Discard,TX Queue1 Discard,TX Queue2 Discard,TX Queue3 Discard,TX Queue4 Discard,TX Queue5 Discard,TX Queue6 Discard,TX Queue7 Discard,Record Status
00:15,25792757361,3221328859,23905077,10385737,0,NORMAL,0,NORMAL,0,NORMAL,2220,227701,2337428,5186019,1702863,2535985,1445497,560485,788146,599827,17628383,1245680,0,NORMAL,0,NORMAL,0,0,4401,180,2142,2,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
00:30,24300315230,2580812582,22417857,9398330,0,NORMAL,0,NORMAL,0,NORMAL,2156,227688,2123891,5031855,1503570,2254949,1526783,525966,695973,497324,16555152,830521,0,NORMAL,0,NORMAL,0,0,4400,180,2250,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
00:45,24001613608,2412028555,21709479,8933771,0,NORMAL,0,NORMAL,0,NORMAL,2208,261253,1884114,4743782,1478469,2179325,1315964,507028,603147,455653,16425248,757025,0,NORMAL,0,NORMAL,0,0,4431,180,2383,1,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
01:00,21094414073,2337882910,19317594,8352994,0,NORMAL,0,NORMAL,0,NORMAL,2240,242256,1795304,4619920,1454806,1765624,1068814,464486,535976,410094,14451481,820623,0,NORMAL,0,NORMAL,0,0,4351,179,2146,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
01:15,20849957333,2302874723,19012587,7946501,0,NORMAL,0,NORMAL,0,NORMAL,2156,216955,1709574,4269902,1360026,1663536,1167752,594570,524625,366399,14247670,805254,0,NORMAL,0,NORMAL,0,0,4380,180,2275,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
01:30,17828887829,2179559397,16535988,7104430,0,NORMAL,0,NORMAL,0,NORMAL,2028,222006,1580624,3680369,1183456,1427603,1092215,576411,483942,370428,12193490,798147,0,NORMAL,0,NORMAL,0,0,4385,180,2624,1,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
01:45,16904738824,2454493523,15663572,6987993,0,NORMAL,0,NORMAL,0,NORMAL,2048,222144,1580917,3493792,1124134,1364812,946129,504153,356622,338403,11653658,1035749,0,NORMAL,0,NORMAL,0,0,4363,177,2657,1,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
02:00,16870746567,2177972211,15500625,7050823,0,NORMAL,0,NORMAL,0,NORMAL,2611,244733,1456438,3702940,1248764,1474743,926890,475305,356241,300974,11444106,823548,0,NORMAL,0,NORMAL,0,0,4454,180,2670,1,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
02:15,15417217506,1973710525,14600167,6290711,0,NORMAL,0,NORMAL,0,NORMAL,24942,225768,1540005,3166878,1176025,1444079,958373,381885,414548,330252,10444584,712558,0,NORMAL,0,NORMAL,0,0,4441,180,2580,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
02:30,14139489762,2107040618,13280076,6037462,0,NORMAL,0,NORMAL,0,NORMAL,13109,240544,1387820,2895503,1078429,1350181,761009,359857,397463,280755,9618022,882355,0,NORMAL,0,NORMAL,0,0,4428,180,2378,0,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
02:45,11378867676,2006457910,11061017,5581766,0,NORMAL,0,NORMAL,0,NORMAL,12695,252704,1371237,2584121,1027661,1268082,609660,330756,327216,252839,7687486,865561,0,NORMAL,0,NORMAL,0,0,4501,180,2382,1,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
03:00,12103937850,1647579719,11351762,5026707,0,NORMAL,0,NORMAL,0,NORMAL,16687,252677,1272517,2361425,953767,1274098,523699,250984,251857,218395,8317659,642066,0,NORMAL,0,NORMAL,0,0,4404,178,2259,2,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
03:15,10060114847,1732957833,9759476,4697451,0,NORMAL,0,NORMAL,0,NORMAL,17981,255667,1289150,2040981,941839,1180867,407979,225364,227023,231270,6851592,736345,0,NORMAL,0,NORMAL,0,0,4431,180,2209,1,0,NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID
